Complex Group,Product Name,Merchant Id,MRP,Price,Brand,Vertical Id,Validate,Status,Fulfillment Service,Managed By Paytm,Salesforce Case Id,Merchant SKU,Return Policy Id,Category Id 1,Image Folder,Prefetch Title,videos,video_thumbnail,Online,Paytm SKU,ProductId,,,
1678091383571A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_411,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FA4FE7F2,343974898,,,
1678091383504A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_344,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F21DF1BD,343974913,,,
1678091383540A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_380,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667159C57AA8,343974921,,,
1678091383642A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_482,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B2840D01,343974907,,,
1678091383637A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_477,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566714576E541,343974906,,,
1678091383570A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_410,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718D48D764,343974899,,,
1678091383638A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_478,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D5C9F8D0,343974908,,,
1678091383568A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_408,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719A886E17,343974881,,,
1678091383567A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_407,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A377386,343974883,,,
1678091383525A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_365,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B72CA3A9,343974915,,,
1678091383600A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_440,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F03F2321,343974919,,,
1678091383542A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_382,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B7CB1B84,343974931,,,
1678091383615A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_455,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671994EE6EF,343974924,,,
1678091383592A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_432,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715170D4CA,343974901,,,
1678091383541A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_381,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712EC24A3E,343974916,,,
1678091383622A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_462,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712C07208F,343974920,,,
1678091383601A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_441,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671873813B7,343974927,,,
1678091383559A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_399,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713902F34D,343974882,,,
1678091383560A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_400,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719453E625,343974890,,,
1678091383641A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_481,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712B8D5CBB,343974909,,,
1678091383616A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_456,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667147B755,343974925,,,
1678091383621A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_461,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B50E7135,343974930,,,
1678091383593A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_433,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712677E45C,343974902,,,
1678091383527A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_367,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715922C285,343974922,,,
1678091383575A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_415,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FD2223EB,343974884,,,
1678091383670A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_510,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718C8ABD53,343974933,,,
1678091383671A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_511,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FB8D8DC5,343974932,,,
1678091383579A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_419,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F4946FC0,343974917,,,
1678091383610A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_450,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E9241260,343974926,,,
1678091383661A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_501,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E296BC84,343974934,,,
1678091383675A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_515,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FCE049DC,343974935,,,
1678091383505A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_345,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671851AC12B,343974923,,,
1678091383585A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_425,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D60F7028,343974889,,,
1678091383611A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_451,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719E2322F6,343974928,,,
1678091383577A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_417,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671132C42C7,343974918,,,
1678091383609A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_449,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667189E39B85,343974940,,,
1678091383627A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_467,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715C6DD400,343974941,,,
1678091383614A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_454,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671EE49D679,343974929,,,
1678091383645A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_485,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712CE098A2,343974943,,,
1678091383665A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_505,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E5FB789D,343974945,,,
1678091383660A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_500,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667195918C12,343974938,,,
1678091383576A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_416,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671642B7251,343974891,,,
1678091383628A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_468,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CCD2C991,343974942,,,
1678091383650A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_490,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667145915D6C,343974944,,,
1678091383666A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_506,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717CF22927,343974948,,,
1678091383594A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_434,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B81371FF,343974894,,,
1678091383674A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_514,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718BE7794A,343974939,,,
1678091383583A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_423,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713F6CD51D,343974936,,,
1678091383679A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_519,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F55605F7,343974953,,,
1678091383703A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_543,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667168F418AC,343974954,,,
1678091383662A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_502,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717B9FED3E,343974946,,,
1678091383584A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_424,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A10840BE,343974937,,,
1678091383588A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_428,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A8BE0C95,343974950,,,
1678091383589A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_429,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DFB93C03,343974951,,,
1678091383694A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_534,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B9D11BC8,343974959,,,
1678091383704A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_544,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F6908D0F,343974958,,,
1678091383646A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_486,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B5E9C918,343974947,,,
1678091383619A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_459,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667190F8AAC4,343974956,,,
1678091383620A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_460,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C20941A3,343974955,,,
1678091383651A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_491,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667132966DFA,343974949,,,
1678091383599A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_439,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C6A20D42,343974972,,,
1678091383598A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_438,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B1A53DD4,343974974,,,
1678091383591A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_431,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C8798570,343974952,,,
1678091383680A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_520,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A7A7EE90,343974962,,,
1678091383711A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_551,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719FE148C1,343974960,,,
1678091383643A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_483,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C5833D97,343974957,,,
1678091383606A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_446,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671195C8614,343974975,,,
1678091383595A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_435,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CF144169,343974973,,,
1678091383618A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_458,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E7FF9A52,343974978,,,
1678091383685A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_525,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D7CD1A1F,343974984,,,
1678091383605A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_445,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718055D7AE,343974976,,,
1678091383604A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_444,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F752E738,343974977,,,
1678091383697A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_537,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667120D84A72,343974985,,,
1678091383690A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_530,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671BEBCDFD1,343974970,,,
1678091383713A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_553,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667171EF29ED,343974961,,,
1678091383712A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_552,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716E8197B,343974963,,,
1678091383673A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_513,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711583ECE9,343974986,,,
1678091383625A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_465,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B263B52C,343974983,,,
1678091383623A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_463,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715B001019,343974981,,,
1678091383617A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_457,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671774087C3,343974982,,,
1678091383597A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_437,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671211A2045,343974964,,,
1678091383603A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_443,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716936729B,343974965,,,
1678091383689A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_529,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DE7B5634,343974969,,,
1678091383681A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_521,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D0A0DE06,343974971,,,
1678091383684A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_524,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A0CA2A89,343974987,,,
1678091383626A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_466,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712B6AE496,343974988,,,
1678091383624A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_464,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C56485BA,343974989,,,
1678091383596A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_436,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671561D10D3,343974967,,,
1678091383602A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_442,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566711E31420D,343974966,,,
1678091383715A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_555,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671988C8CD8,343974980,,,
1678091383613A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_453,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671702D43DA,343974968,,,
1678091383631A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_471,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671AC154074,343974990,,,
1678091383636A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_476,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713271D5D7,343974991,,,
1678091383663A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_503,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C98DDA8,343974998,,,
1678091383664A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_504,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667192FC480B,343974999,,,
1678091383692A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_532,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667150B2BEFD,343974993,,,
1678091383658A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_498,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566714B4AD55E,343974992,,,
1678091383612A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_452,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667172A734C,343974979,,,
1678091383633A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_473,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671421B2158,343975001,,,
1678091383632A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_472,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671351C11CE,343975000,,,
1678091383693A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_533,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667127B58E6B,343974996,,,
1678091383659A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_499,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713C4DE5C8,343974994,,,
1678091383649A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_489,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712556D489,343975004,,,
1678091383656A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_496,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671ACF2F859,343975002,,,
1678091383655A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_495,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667135FBA9E3,343975003,,,
1678091383683A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_523,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713EAEBF2A,343974995,,,
1678091383652A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_492,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671AB9F3C40,343974997,,,
1678091383629A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_469,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671BBD5F907,343975005,,,
1678091383634A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_474,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DC7FB4FB,343975006,,,
1678091383758A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_598,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566714A88BF69,343975010,,,
1678091383753A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_593,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DD5A66E1,343975011,,,
1678091383635A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_475,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671AB78846D,343975009,,,
1678091383630A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_470,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DB1270E2,343975008,,,
1678091383696A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_536,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667157DF7AE4,343975021,,,
1678091383749A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_589,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712494BEBE,343975017,,,
1678091383695A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_535,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CED62B5E,343975024,,,
1678091383725A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_565,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B3A1DF1B,343975007,,,
1678091383738A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_578,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D40B92E7,343975013,,,
1678091383744A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_584,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715A25C203,343975012,,,
1678091383720A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_560,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C3CB2B94,343975018,,,
1678091383750A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_590,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566714453375B,343975019,,,
1678091383707A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_547,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716F99DCB5,343975022,,,
1678091383682A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_522,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667149A98FBC,343975023,,,
1678091383737A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_577,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667144B48F76,343975016,,,
1678091383723A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_563,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715AC27A2E,343975014,,,
1678091383699A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_539,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C7606775,343975037,,,
1678091383698A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_538,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B06757E3,343975036,,,
1678091383672A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_512,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716284DC7F,343975025,,,
1678091383757A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_597,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DA37A2F8,343975028,,,
1678091383739A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_579,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A30CA271,343975015,,,
1678091383719A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_559,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671913AC0F3,343975020,,,
1678091383773A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_613,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667117C552B0,343975042,,,
1678091383741A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_581,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712A4F368C,343975041,,,
1678091383700A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_540,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F1FD4916,343975038,,,
1678091383708A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_548,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FF26C124,343975039,,,
1678091383706A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_546,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671189EEC23,343975040,,,
1678091383722A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_562,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566712DC54AB8,343975031,,,
1678091383768A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_608,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671990CBA79,343975026,,,
1678091383736A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_576,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667133B3BFE0,343975034,,,
1678091383751A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_591,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671335407CD,343975027,,,
1678091383740A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_580,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715D48061A,343975043,,,
1678091383772A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_612,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667160C26226,343975044,,,
1678091383763A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_603,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671EDE63F1,343975045,,,
1678091383778A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_618,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667180178B38,343975046,,,
1678091383752A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_592,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671AA5D5677,343975029,,,
1678091383796A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_636,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715599C4BD,343975053,,,
1678091383728A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_568,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CD10A3A6,343975030,,,
1678091383648A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_488,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715251E41F,343975057,,,
1678091383640A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_480,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715C8A6C2D,343975067,,,
1678091383729A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_569,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671BA179330,343975032,,,
1678091383774A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_614,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667189A1C713,343975048,,,
