Clone_From_Item_Id, Clone_To_Event_Id, Name, Capacity, Price, Phase_Group_Name, Phase_Group_Capacity
670f6665c6c7c662a6cadb1c,67601921ff7733b6863a85d6,Garware Pavilion Box 51 - L1 ,15,0,Garware Pavilion Box 51 - L1 ,15
670f66c7c6c7c662a6cadf7b,67601921ff7733b6863a85d6,Garware Pavilion Box 52 - L1,15,0,Garware Pavilion Box 52 - L1,15
670f67525817ecb6ab6526d0,67601921ff7733b6863a85d6,Garware Pavilion Box 53 - L1,15,0,Garware Pavilion Box 53 - L1,15
670f67a7ceb0083af44f81ad,67601921ff7733b6863a85d6,Garware Pavilion Box 54 - L1,15,0,Garware Pavilion Box 54 - L1,15
670f6802f2d19d25702b9467,67601921ff7733b6863a85d6,Garware Pavilion Box 55 - L2,20,0,Garware Pavilion Box 55 - L2,20
670f6899b430a980bedc5091,67601921ff7733b6863a85d6,Garware Pavilion Box 56 - L2,20,0,Garware Pavilion Box 56 - L2,20
670f68eb2a02214a260ffafc,67601921ff7733b6863a85d6,Garware Pavilion Box 57 - L2,20,0,Garware Pavilion Box 57 - L2,20
670f6942c80b21aeefccb8e2,67601921ff7733b6863a85d6,Garware Pavilion Box 59 - L1,40,0,Garware Pavilion Box 59 - L1,40
670f69af9b815231d92bfaa0,67601921ff7733b6863a85d6,North Stand Box 60 - L1,12,0,North Stand Box 60 - L1,12
6724d7e2f0799fab73578c92,67601921ff7733b6863a85d6,VIP BOX - L2,15,0,VIP BOX - L2,15
